# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
0.000       7.5398224       16.921330       367.44142
0.000       7.6654861       16.492280       376.33105
0.000       7.7911498       15.854031       379.85218
0.000       7.9168135       15.313344       384.93866
0.000       8.0424772       14.838860       391.05721
0.000       8.2938046       13.892764       401.53213
0.000       8.5451320       13.084299       413.59668
0.000       8.7964594       12.526908       431.95436
0.000       9.0477868       11.626081       436.24524
0.000       9.2991143       11.245144       458.09971
0.000       9.5504417       10.460954       461.64902
0.000       9.8017691       9.7975316       467.41251
0.000       10.053096       9.3539723       481.46630
0.000       10.304424       8.9511168       496.15644
0.000       10.555751       8.3793605       499.28507
0.000       10.807079       7.8782530       503.76168
0.000       11.058406       7.6553845       524.46302
0.000       11.309734       7.3407101       537.97916
0.000       11.561061       7.0561351       552.37017
0.000       11.812388       6.5342826       545.60874
0.000       12.063716       6.3283035       562.86060
0.000       12.315043       6.1450617       581.43922
0.000       12.566371       5.8150063       584.58819
0.000       12.817698       5.6500476       602.77117
0.000       13.069025       5.3217098       601.79843
0.000       13.320353       5.1168494       612.66078
0.000       13.571680       4.9586798       627.96752
0.000       13.823008       4.7448239       634.88929
0.000       14.074335       4.5713969       645.65846
0.000       14.325663       4.3661585       650.30022
0.000       14.576990       4.2074252       660.22234
0.000       14.828317       4.0780356       673.59195
0.000       15.079645       3.8953344       676.68778
0.000       15.330972       3.7331375       681.48033
0.000       15.582300       3.6043252       690.85813
0.000       15.833627       3.5044886       704.75171
0.000       16.084954       3.4297378       723.08721
0.000       16.587609       3.1450474       727.19158
0.000       17.090264       2.9575155       747.90013
0.000       17.592919       2.7325343       753.78864
0.000       18.095574       2.5796340       774.36447
0.000       18.598229       2.3977434       781.42571
0.000       19.100883       2.3079337       814.80550
0.000       19.603538       2.1667584       826.95929
0.000       20.106193       2.0204292       831.96188
0.000       20.608848       1.8952247       840.41175
0.000       21.111503       1.8082716       861.96840
0.000       21.614157       1.7125828       876.06587
0.000       22.116812       1.5925207       872.81648
0.000       22.619467       1.5312295       897.75462
0.000       23.122122       1.4796176       926.62243
0.000       23.624777       1.3629244       910.42708
0.000       24.127432       1.2935882       920.44867
0.000       24.630086       1.2357793       935.42498
0.000       25.132741       1.1836230       951.92613
0.000       25.635396       1.1331203       967.08884
0.000       26.138051       1.0803130       977.32600
0.000       26.640706       1.0294096       986.04254
0.000       27.143361      0.97439635       987.18092
0.000       27.646015      0.92279068       987.80472
0.000       28.148670      0.89401297       1010.1543
0.000       28.651325      0.85189199       1015.0535
0.000       29.153980      0.81731066       1026.0085
0.000       29.656635      0.78131199       1032.4294
0.000       30.159289      0.74934387       1041.3932
0.000       30.661944      0.71870071       1049.5845
0.000       31.164599      0.69082623       1059.3116
0.000       31.667254      0.66369156       1067.7455
0.000       32.169909      0.63360883       1068.6635
0.000       33.175218      0.59473696       1100.1111
0.000       34.180528      0.53267514       1077.6283
0.000       35.185838      0.49594140       1094.4711
0.000       36.191147      0.47430161       1139.0215
0.000       37.196457      0.43858979       1143.4930
0.000       38.201767      0.39549070       1117.0095
0.000       39.207076      0.37697819       1151.0120
0.000       40.212386      0.35045133       1154.4563
0.000       41.217696      0.32739106       1161.4171
0.000       42.223005      0.30995584       1182.0001
0.000       43.228315      0.28279357       1157.2967
0.000       44.233625      0.27232136       1194.0144
0.000       45.238934      0.25675388       1204.2714
0.000       46.244244      0.23522531       1178.4939
0.000       47.249554      0.22326591       1193.1246
0.000       48.254863      0.21338011       1214.6397
0.000       49.260173      0.19667076       1190.9619
0.000       50.265482      0.18842741       1212.3385
0.000       51.270792      0.17305611       1181.5913
0.000       52.276102      0.16577400       1199.7652
0.000       53.281411      0.15762585       1207.8830
0.000       54.286721      0.14791431       1198.8402
0.000       55.292031      0.14045916       1202.8402
0.000       56.297340      0.13330291       1204.9625
0.000       57.302650      0.12504334       1191.9415
0.000       58.307960      0.11912726       1196.3685
0.000       59.313269      0.11339895       1198.7673
0.000       60.318579      0.10915166       1213.5394
0.000       61.323889      0.10205662       1192.3410
0.000       62.329198     0.096956878       1189.3879
0.000       63.334508     0.092249725       1187.2893
0.000       64.339818     0.087068595       1174.8198
0.000       66.350437     0.080003746       1183.8916
0.000       68.361056     0.072843204       1178.9234
0.000       70.371675     0.067079974       1184.2866
0.000       72.382295     0.059312563       1139.4991
0.000       74.392914     0.053907374       1124.3801
0.000       76.403533     0.049626089       1121.2969
0.000       78.414153     0.045268010       1105.7196
0.000       80.424772     0.042920872       1131.1190
0.000       82.435391     0.037057403       1051.6866
0.000       84.446011     0.035103281       1070.9159
0.000       86.456630     0.032057649       1049.5348
0.000       88.467249     0.030316173       1063.3891
0.000       90.477868     0.026845807       1007.3347
0.000       92.488488     0.025243481       1011.7717
0.000       94.499107     0.023480883       1003.8476
0.000       96.509726     0.021096124       960.69642
0.000       98.520346     0.019977248       967.79573
0.000       100.53096     0.018386329       946.37844
0.000       102.54158     0.017065752       932.17139
0.000       104.55220     0.015932659       922.48238
0.000       106.56282     0.014007468       858.71103
0.000       108.57344     0.014194618       920.37493
0.000       110.58406     0.012351762       846.20731
0.000       112.59468     0.011808440       853.91845
0.000       114.60530     0.011691366       891.55803
0.000       116.61592     0.010751733       863.81796
0.000       118.62654    0.0096166298       813.27745
0.000       120.63716    0.0096823882       861.18418
0.000       122.64778    0.0083396131       779.46247
0.000       124.65840    0.0075271466       738.69514
0.000       126.66902    0.0077674531       799.76075
0.000       128.67964    0.0080337893       867.20178
0.000       132.70087    0.0073490705       870.00955
0.000       136.72211    0.0055736688       721.65179
0.000       140.74335    0.0048151366       680.08395
0.000       144.76459    0.0047632038       732.07648
0.000       148.78583    0.0047521567       792.94984
0.000       152.80707    0.0041770240       755.03581
0.000       156.82831    0.0045764373       894.27506
0.000       160.84954    0.0028835758       607.94059
0.000       164.87078    0.0025850530       586.90906
0.000       168.89202    0.0023446356       572.23315
0.000       172.91326    0.0024849203       650.83008
0.000       176.93450    0.0016811418       471.75026
0.000       180.95574    0.0022049579       661.89276
0.000       184.97698    0.0026276674       842.54612
0.000       188.99821    0.0015539517       531.47258
0.000       193.01945    0.0015243506       555.33923
0.000       197.04069   0.00086837343       336.54609
0.000       201.06193    0.0016965975       698.61616
0.000       205.08317    0.0017524998       765.80518
0.000       209.10441    0.0014012828       649.06115
0.000       213.12565   0.00070027377       343.43555
0.000       217.14688    0.0017351489       900.05245
0.000       221.16812    0.0017629946       966.24853
0.000       225.18936   0.00085042322       491.98173
